responseid,distributionchannel,q43,social_media_use,how_often_1,how_often_2,how_often_3,how_often_4,how_often_5,how_often_6,how_often_7,how_often_8,how_often_9,how_often_10,how_often_11,tweets_public,insta_public,researchers_1,researchers_2,researchers_3,researchers_4,researchers_5,researchers_6,researchers_7,researchers_8,researchers_9,researchers_10,researchers_11,researchers_12,researchers_13,researchers_14,researchers_15,researchers_16,researchers_17,researchers_18,researchers_19,researchers_20,sm_companies_1,sm_companies_2,sm_companies_3,sm_companies_4,sm_companies_5,sm_companies_6,sm_companies_7,sm_companies_8,sm_companies_9,sm_companies_10,sm_companies_11,sm_companies_12,sm_companies_13,sm_companies_14,sm_companies_15,sm_companies_16,sm_companies_17,sm_companies_18,sm_companies_19,sm_companies_20,journalists_1,journalists_2,journalists_3,journalists_4,journalists_5,journalists_6,journalists_7,journalists_8,journalists_9,journalists_10,journalists_11,journalists_12,journalists_13,journalists_14,journalists_15,journalists_16,sometimes,sometimes_text,digital_privacy_1,digital_privacy_2,digital_privacy_3,digital_privacy_4,social_science,data_archive_1,data_archive_2,data_archive_3,data_archive_4,data_archive_5,secure_archive,anonymous_archive,concern-misuse,concern-harm,age,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,education,income,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4,sensitivity_5,sensitivity_6,sensitivity_7,sensitivity_8,sensitivity_9,sensitivity_10,sensitivity_11,sensitivity_12,sensitivity_13,sensitivity_14,sensitivity_15,sensitivity_16,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,privacy_behaviors_1,privacy_behaviors_2,privacy_behaviors_3,privacy_behaviors_4,privacy_behaviors_5,privacy_behaviors_6,privacy_behaviors_7
R_1MX1peaf8394Gzu,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,A Few Times a Week,A Few Times a Week,Don't use at all,Don't use at all,Less Often,Every Few Weeks,Don't use at all,A Few Times a Week,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,I'm not sure.,No,Yes,No,No,I'm not sure.,No,No,I'm not sure.,No,Yes,No,Yes,Prior pemision to use data,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Important,Neither important nor unimportant,Important,Neither important nor unimportant,Important,Good idea,Good idea,Extremely Concerned,Slightly Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,No trust at all - 1,No trust at all - 1,4,No trust at all - 1,No trust at all - 1,No trust at all - 1,Sometimes,Never,Sometimes,Always,Always,Always,Sometimes
R_1g1nNh0yqmZkZ9N,anonymous,Yes,Yes,Several Times a Day,Less Often,Less Often,About Once a Day,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,A Few Times a Week,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,I'm not sure.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Every situation is different,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,55 - 64,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Associate degree,"$50,000 - $59,999",Very Sensitive 10,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,3,3,3,3,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always
R_1Hcc3NPK9jYj8bD,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,Don't use at all,Don't use at all,Don't use at all,Don't use at all,-99,-99,,,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,it depends,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,I'm not sure,I'm not sure,Neither Concerned nor Unconcerned,Neither Concerned nor Unconcerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$50,000 - $59,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Very Sensitive 10,-99,-99,4,4,4,4,4,4,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always
R_3LdMKbPiJbxMnEy,anonymous,Yes,Yes,About Once a Day,Less Often,Don't use at all,Don't use at all,Less Often,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,About Once a Day,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Don't really know ,Disagree,Agree,Disagree,Agree,Agree,Neither important nor unimportant,Neither important nor unimportant,Important,Neither important nor unimportant,Neither important nor unimportant,Good idea,Good idea,Extremely Concerned,Extremely Concerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$10,000 - $19,999",Very Sensitive 10,9,Very Sensitive 10,Very Sensitive 10,9,Very Sensitive 10,9,9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,9,Very Sensitive 10,Very Sensitive 10,9,Complete Trust - 7,6,Complete Trust - 7,6,Complete Trust - 7,6,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes
R_2YybnkatM7dySfM,anonymous,Yes,Yes,About Once a Day,Every Few Weeks,Less Often,Don't use at all,A Few Times a Week,Every Few Weeks,Less Often,About Once a Day,Less Often,Don't use at all,Less Often,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"I think for pictures that will be displayed publicly, the owner of the picture needs to authorize the use of the picture.",Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Not important,Not important,Not important,Not important,Important,I'm not sure,Good idea,Slightly Concerned,Neither Concerned nor Unconcerned,25 - 34,Woman,0,0,0,0,0,0,0,Bisexual,0,0,0,0,0,0,0,0,White,0,0,Associate degree,"$70,000 - $79,999",4,2,3,6,3,3,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,5,7,5,Not Sensitive 1,4,3,2,6,3,No trust at all - 1,2,Never,Sometimes,Never,Never,Never,Never,Sometimes
R_yL3epI7yVx9hkkx,anonymous,Yes,Yes,Several Times a Day,Every Few Weeks,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,About Once a Day,Yes,Yes,No,I'm not sure.,No,No,No,I'm not sure.,No,No,I'm not sure.,I'm not sure.,I'm not sure.,No,No,No,Yes,No,I'm not sure.,No,Yes,Yes,No,I'm not sure.,No,No,I'm not sure.,I'm not sure.,No,No,No,No,I'm not sure.,No,No,No,Yes,Yes,I'm not sure.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,The situation and the people involved in the information that's being obtained,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Important,Neither important nor unimportant,Neither important nor unimportant,Important,Important,Good idea,Bad idea,Slightly Concerned,Moderately Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$40,000 - $49,999",Very Sensitive 10,Very Sensitive 10,8,Very Sensitive 10,Very Sensitive 10,6,7,9,9,9,9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,8,4,3,4,4,4,3,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes
R_3meE1pkmUpN7PiO,anonymous,Yes,Yes,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,No,No,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Cause they will use anything to make a story true or false.,Agree,Agree,Agree,Agree,-99,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$30,000 - $39,999",Very Sensitive 10,9,Very Sensitive 10,Very Sensitive 10,9,8,6,2,6,8,8,9,9,Very Sensitive 10,Very Sensitive 10,7,4,No trust at all - 1,4,5,4,2,Always,Always,Sometimes,Always,Always,Always,Sometimes
R_5Ae75N6sTOBa8IF,anonymous,Yes,Yes,About Once a Day,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,Every Few Weeks,Less Often,I'm not sure,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,I'm not sure.,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Get tired of clicking through so many questions in surveys; should be short and sweet,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Important,Neither important nor unimportant,Neither important nor unimportant,Important,Neither important nor unimportant,I'm not sure,Good idea,Slightly Concerned,Neither Concerned nor Unconcerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","Less than $10,000",9,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,9,9,6,6,5,2,7,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,6,6,5,4,No trust at all - 1,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes
R_269CvEKC5G3ZArI,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,No,No,No,No,No,I'm not sure.,No,I'm not sure.,No,No,I'm not sure.,No,No,I'm not sure.,No,I'm not sure.,No,Yes,No,No,I'm not sure.,No,No,I'm not sure.,I'm not sure.,No,I'm not sure.,No,No,No,No,No,No,No,No,No,I'm not sure.,No,No,I'm not sure.,I'm not sure.,No,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,sometimes,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,I'm not sure,I'm not sure,Neither Concerned nor Unconcerned,Neither Concerned nor Unconcerned,35 - 44,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$10,000 - $19,999",-99,-99,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,5,-99,5,5,5,4,3,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes
R_2scgfMJgtlYwXtH,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,-99,Several Times a Day,Several Times a Day,Several Times a Day,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Health Of Social Effects.,Disagree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Extremely Concerned,35 - 44,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$10,000 - $19,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,Very Sensitive 10,Very Sensitive 10,5,5,6,6,Complete Trust - 7,6,Always,Always,Always,Always,Sometimes,Sometimes,Never
R_25HgpuQcGwZfdvx,anonymous,Yes,Yes,Several Times a Day,Every Few Weeks,Don't use at all,Don't use at all,Less Often,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,Every Few Weeks,Yes,I'm not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I don't believe anyone collecting data has a neutral stance on their reporting, they are likely pushing for a specific result without taking my concerns in consideration",Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Moderately Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$10,000 - $19,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,5,No trust at all - 1,3,3,4,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always
R_3KGuG0YdkzcM2IP,anonymous,Yes,Yes,Several Times a Day,About Once a Day,About Once a Day,Several Times a Day,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Several Times a Day,A Few Times a Week,About Once a Day,Yes,Yes,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,if it meant no harm,Disagree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,I'm not sure,Extremely Concerned,Extremely Concerned,55 - 64,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$80,000 - $89,999",-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,5,5,3,2,Always,Always,Always,Always,Always,Always,Always
R_3RdN51wp0i8jo1i,anonymous,Yes,Yes,About Once a Day,About Once a Day,About Once a Day,Don't use at all,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,I'm not sure.,Yes,No,Yes,Yes,I'm not sure.,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,The situation has changed so much that I need to make separate decisions ,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Important,Neither important nor unimportant,Neither important nor unimportant,Important,Important,Good idea,Good idea,Moderately Concerned,Moderately Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$80,000 - $89,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,-99,-99,-99,-99,5,6,6,5,4,4,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
R_1mCbDI7G9VGdDbG,anonymous,Yes,Yes,Every Few Weeks,Every Few Weeks,Don't use at all,Don't use at all,Every Few Weeks,Don't use at all,Less Often,Don't use at all,Every Few Weeks,Don't use at all,Less Often,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,I'm not sure.,Yes,I'm not sure.,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,No,I'm not sure.,Yes,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Yes,Some of the questions were kid of tricky ,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Important,Neither important nor unimportant,Important,Important,Important,I'm not sure,Good idea,Moderately Concerned,Moderately Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,Some college but no degree,"$30,000 - $39,999",3,3,4,6,4,5,4,4,3,6,5,3,6,5,6,3,2,2,4,3,4,3,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes
R_e8QfjSUe9nAQVeF,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,No,No,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,i dont always says yes but I dont say no,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Not important,Neither important nor unimportant,Important,Important,Neither important nor unimportant,I'm not sure,Bad idea,Moderately Concerned,Moderately Concerned,45 - 54,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,"Bachelor's degree (For example: BA, AB, BS)","$60,000 - $69,999",9,Not Sensitive 1,Not Sensitive 1,9,9,8,7,4,2,5,2,8,7,9,7,5,No trust at all - 1,No trust at all - 1,5,4,4,3,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always
R_AvQIIpEnvb2oBQ5,anonymous,Yes,Yes,About Once a Day,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Less Often,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,It depends on whether my post is marked public or for a smaller group.,Neither Agree Nor Disagree,Disagree,Disagree,Disagree,Disagree,Not important,Neither important nor unimportant,Not important,Not important,Not important,Bad idea,Bad idea,Moderately Unconcerned,Extremely Unconcerned,55 - 64,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$70,000 - $79,999",8,5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,2,Not Sensitive 1,Not Sensitive 1,2,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,8,9,8,Not Sensitive 1,6,6,6,5,3,2,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes
R_6g9LJ785LiJPyrD,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,Yes,No,Yes,No,No,No,No,Yes,No,Yes,I'm not sure.,No,I'm not sure.,Yes,No,No,No,Yes,Yes,Yes,Yes,I'm not sure.,No,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,I'm not sure.,Yes,I'm not sure.,I'm not sure.,I'm not sure.,Yes,I'm not sure.,I'm not sure.,I'm not sure.,No,Yes,Yes,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,No,Yes,No,Yes,I'm not sure.,Yes,No,No,No,I'm not sure.,Yes,Yes,Depends on the subject.,Neither Agree Nor Disagree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,I'm not sure,Slightly Concerned,Slightly Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$50,000 - $59,999",Very Sensitive 10,5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,5,3,3,Very Sensitive 10,Very Sensitive 10,9,Very Sensitive 10,6,4,2,2,3,2,No trust at all - 1,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always
R_1j7lu3MAeDI9s9P,anonymous,Yes,Yes,About Once a Day,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,it depends on my mood at the time,Agree,Neither Agree Nor Disagree,Agree,Agree,Disagree,Important,Not important,Not important,Not important,Not important,Bad idea,Good idea,Extremely Concerned,Extremely Concerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$70,000 - $79,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,No trust at all - 1,No trust at all - 1,2,4,No trust at all - 1,No trust at all - 1,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes
R_vcXJyyZabhUsS9H,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,if a crime has been commited,Agree,Agree,Agree,Agree,Agree,Important,Important,Important,Important,Important,Good idea,I'm not sure,Moderately Concerned,Slightly Concerned,65 - 74,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,0,0,Hispanic or Latino,0,0,0,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$10,000 - $19,999",Very Sensitive 10,Very Sensitive 10,9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,6,6,6,6,5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,4,3,4,6,4,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
